index,isbn,book_title,book_author,Category,year_of_publication
769,971880107,Wild Animus,Rich Shapero,['Fiction'],2004
3271,345402871,Airframe,Michael Crichton,['Fiction'],1997
3478,345417623,Timeline,MICHAEL CRICHTON,['Fiction'],2000
3885,312978383,Winter Solstice,Rosamunde Pilcher,9,2001
3979,425099148,Death in the Clouds,Agatha Christie,['Fiction'],1997
3996,553264990,Bant/Spec.Last of the Breed,Louis L'Amour,9,1987
4009,553278398,Prelude to Foundation (Foundation Novels (Paperback)),ISAAC ASIMOV,['Fiction'],1989
4064,684823802,OUT OF THE SILENT PLANET,C.S. Lewis,['Fiction'],1996
4074,891075275,Piercing the Darkness,Frank E. Peretti,9,1989
4122,891076182,Prophet,Frank E. Peretti,9,1992
4158,375759778,Prague : A Novel,ARTHUR PHILLIPS,['Fiction'],2003
4185,425163091,Chocolate Jesus,Stephan Jaramillo,['Fiction'],1998
4194,3404921038,Wie Barney es sieht.,Mordecai Richler,['Canadian fiction'],2002
4196,3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,9,2001
4198,3442410665,Sturmzeit. Roman.,Charlotte Link,9,1991
4201,3442446937,Tage der Unschuld.,Richard North Patterson,9,2000
4202,375406328,Lying Awake,Mark Salzman,['Fiction'],2000
4219,446310786,To Kill a Mockingbird,Harper Lee,['Fiction'],1988
4608,449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,['History'],2002
4854,60168013,Pigs in Heaven,Barbara Kingsolver,['Fiction'],1993
4909,038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,['Fiction'],1996
4918,055321215X,Pride and Prejudice,Jane Austen,9,1983
4921,067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,['Health & Fitness'],1979
4925,61099686,Downtown,Anne Rivers Siddons,['Fiction'],1995
4963,553582909,Icebound,Dean R. Koontz,9,2000
4990,671888587,I'll Be Seeing You,Mary Higgins Clark,['Fiction'],1994
5130,553582747,From the Corner of His Eye,Dean Koontz,['Fiction'],2001
5295,425182908,Isle of Dogs,Patricia Cornwell,['Fiction'],2002
5498,042518630X,Purity in Death,J.D. Robb,['Fiction'],2002
5604,440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,['Fiction'],1997
5663,812523873,Proxies,Laura J. Mixon,['Fiction'],1999
5664,842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,['FICTION'],2000
5793,440225701,The Street Lawyer,JOHN GRISHAM,['Fiction'],1999
6172,60914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,['Control (Psychology)'],1988
6182,156047624,All the King's Men,Robert Penn Warren,9,1982
6191,245542957,Pacific Northwest,Hans Johannes Hoefer,9,1985
6192,380715899,A Soldier of the Great War,Mark Helprin,['Fiction'],1992
6213,553280333,Getting Well Again,O. Carol Simonton Md,9,1992
6217,961769947,Northwest Wines and Wineries,Chuck Hill,9,1993
6218,964778319,An Atmosphere of Eternity: Stories of India,David Iglehart,['Fiction'],2002
6220,671623249,LONESOME DOVE,Larry McMurtry,9,1986
6273,679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,['Cholistan Desert (Pakistan)'],1991
6290,679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,['Juvenile Fiction'],1995
6298,2070423204,Lieux dits,Michel Tournier,['Fiction'],2002
6300,345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,['Science'],1978
6315,394743741,The yawning heights,Aleksandr Zinoviev,9,1980
6316,042511774X,Breathing Lessons,Anne Tyler,9,1994
6486,804106304,The Joy Luck Club,Amy Tan,9,1994
7005,1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,['Fiction'],1998
7018,312970242,The Angel Is Near,Deepak Chopra,['Fiction'],2000
7025,1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,['Fiction'],1997
7054,1414035004,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,9,2003
7055,60938412,The Accidental Virgin,Valerie Frankel,['Fiction'],2003
7071,140067477,The Tao of Pooh,Benjamin Hoff,['Humor'],1983
7260,345465083,Seabiscuit,LAURA HILLENBRAND,['History'],2003
7447,451625889,The Prince,Niccolo Machiavelli,['Political ethics'],1952
7448,1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,['Conduct of life'],1991
7537,441783589,Starship Troopers,Robert A. Heinlein,['Fiction'],1987
7616,394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,9,1988
7659,1569871213,Black Beauty (Illustrated Classics),Anna Sewell,['Horses'],1995
7663,375410538,Anil's Ghost,MICHAEL ONDAATJE,['Fiction'],2000
7692,966986105,Prescription for Terror,Sandra Levy Ceren,['Fiction'],1999
7693,087113375X,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,9,1990
7703,340767936,Turning Thirty,Mike Gayle,9,2000
7715,743403843,Decipher,Stel Pavlou,9,2002
7722,60930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,9,1999
7726,60177586,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,9,1994
7734,71416331,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,9,2003
7735,375509038,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,['Political Science'],2003
7737,553062042,Daybreakers Louis Lamour Collection,Louis Lamour,['Brothers'],1981
7739,316769487,The Catcher in the Rye,J.D. Salinger,['Fiction'],1991
8142,8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,"['Baggins, Frodo (Fictitious character)']",2001
8158,8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,9,2001
8168,8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,"['Baggins, Frodo (Fictitious character)']",2001
8178,679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,['History'],1994
8442,671867156,Pretend You Don't See Her,Mary Higgins Clark,['Fiction'],1998
8615,312252617,Fast Women,Jennifer Crusie,['Fiction'],2001
8633,312261594,Female Intelligence,Jane Heller,9,2001
8658,316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,['Biography & Autobiography'],2002
8672,316973742,The Gospel of Judas: A Novel,Simon Mawer,['Fiction'],2002
8677,385235941,"Prize Stories, 1987: The O'Henry Awards",William Abrahams,9,1987
8678,446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,9,2000
8742,451166892,The Pillars of the Earth,Ken Follett,['Fiction'],1996
8970,553347594,McDonald's: Behind the Arches,John F. Love,['Business & Economics'],1995
8975,671621009,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,['Business & Economics'],1986
8977,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,['Fiction'],1995
9095,684822733,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",Pam Proctor,9,1996
9096,786868716,The Five People You Meet in Heaven,Mitch Albom,['Fiction'],2003
9523,8472238822,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,9,2002
9525,671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,['Fiction'],1992
9544,671521519,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,9,1995
9548,440222303,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Neal Barrett Jr.,['Fiction'],1996
9553,312953453,Blood Oath,David Morrell,9,1994
9564,446608653,The Alibi,Sandra Brown,['Fiction'],2000
9644,446612545,The Beach House,James Patterson,9,2003
9907,446612618,A Kiss Remembered,Sandra Brown,9,2003
9930,451208080,The Short Forever,Stuart Woods,['Fiction'],2003
9967,553584383,Dead Aim,IRIS JOHANSEN,['Fiction'],2004
10022,671027360,Angels & Demons,Dan Brown,9,2001
10608,812575954,The Deal,Joe Hutsko,9,2000
10616,316735736,All He Ever Wanted: A Novel,Anita Shreve,['Fiction'],2004
10648,743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,9,2002
10742,345372700,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",LEWIS GRIZZARD,['Humor'],1991
10745,380619458,The Mosquito Coast,Paul Theroux,['Americans'],1990
10799,446325805,"If Love Were Oil, I'd Be About a Quart Low",Lewis Grizzard,9,1994
10805,451406923,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",Charles Hickey,['Infanticide'],1996
10809,671042858,The Girl Who Loved Tom Gordon,Stephen King,9,2000
11023,143034359,Thursday Next in the Well Of Lost Plots (Thursday Next Novels (Penguin Books)),Fforde Jasper,['Fiction'],2004
11026,316778508,The Dogs of Babel : A Novel,Carolyn Parkhurst,9,2004
11036,743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,['Biography & Autobiography'],2003
11051,840734530,"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,['Fiction'],1992
11053,425184226,The Sum of All Fears,Tom Clancy,['Fiction'],2002
11174,375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,['Biography & Autobiography'],1999
11187,9724119378,O Deus Das Pequenas Coisas,Roy,9,1998
11197,451205197,Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,9,2002
11203,60929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,['Fiction'],1998
11285,60976845,Little Altars Everywhere: A Novel,Rebecca Wells,['Fiction'],1996
11719,61099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,['Fiction'],1992
11790,671004573,Before I Say Good-Bye,Mary Higgins Clark,9,2001
11966,446601640,Slow Waltz in Cedar Bend,Robert James Waller,['Fiction'],1994
12044,330484516,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Rachel Harris,9,2001
12045,038572179X,Atonement : A Novel,IAN MCEWAN,['Fiction'],2003
12223,393020371,Next: The Future Just Happened,Michael Lewis,9,2001
12230,1900850303,The Angelic Darkness,Richard Zimler,['Cabala'],1999
12231,1903019699,The Soulbane Stratagem,Norman Jetmundsen,['Fiction'],2000
12233,345425294,Gangster,Lorenzo Carcaterra,['Fiction'],2002
12251,451410319,Hush,Anne Frasier,['Fiction'],2002
12293,553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,['Fiction'],2002
12384,2070567842,Folio Junior: L'histoire De Monsieur Sommer,Su>skind-Sempe,9,1994
12393,225314696X,Contes de fÃ?Â©es Ã?Â  l'usage des moyennes personnes,Boris Vian,['Fiction'],2002
12394,8401422825,Fahrenheit 451,Ray Bradbury,['Fiction'],1993
12396,8420639133,Temor y Temblor,Soren Kierkegaard,9,2001
12397,8433920081,El Almuerzo Desnudo,William S. Burroughs,['Fiction'],1995
12400,8440630794,Cuentos del Planeta Tierra,Arthur C. Clarke,9,1993
12405,847223973X,Que Se Mueran Los Feos (Fabula),Boris Vian,['Fiction'],2002
12406,8476409419,Estudios sobre el amor,Jose Ortega Y Gaset,['Literary Criticism'],2001
12407,380778556,Rebecca,Daphne Du Maurier,['Fiction'],1994
12492,451525221,Scarlet Letter,Nathaniel Hawthorne,9,1993
12517,2740230,Keep It Simple: And Get More Out of Life,Nick Page,['Self-Help'],1999
12518,373196407,The Prince's Tutor,Nicole Burnham,9,2003
12520,373196520,In the Sheikh's Arms,Sue Swift,['Fiction'],2003
12523,385336772,Diary of a Mad Mom-To-Be,Laura Wolf,['Fiction'],2003
12553,440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,['Juvenile Fiction'],1986
12567,505524996,Contact,Susan Grant,['Fiction'],2002
12577,140252800,The Brimstone Wedding,Barbara Vine,9,1997
12586,451452755,The Catswold Portal,Shirley Rousseau Murphy,9,1993
12592,812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,['Fiction'],2002
12607,044651747X,Puerto Vallarta Squeeze,Robert James Waller,['Fiction'],1995
12664,60801263,Tree Grows In Brooklyn,Betty Smith,['American fiction'],1988
12686,61030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,['Biography & Autobiography'],2001
12695,140250964,Snow Angels,Stewart O'Nan,['Fiction'],1995
12701,446527165,Wish You Well,David Baldacci,9,2000
12785,671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,['Humorous stories'],1982
12826,385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,['FICTION'],2003
12892,039575514X,My Antonia,Willa Cather,['Fiction'],1995
12918,451206673,Pen Pals,Olivia Goldsmith,9,2002
12976,330332775,Bridget Jones's Diary,Helen Fielding,['Diary fiction'],1997
13106,486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,['Fiction'],1995
13141,671021745,EYE ON CRIME: HARDY BOYS #153,Franklin W. Dixon,9,1998
13144,671047612,Skin And Bones,Franklin W. Dixon,['Juvenile Fiction'],2000
13147,671504282,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)",Franklin W. Dixon,['Juvenile Fiction'],1995
13149,399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,9,1994
13176,785263292,"If Singleness Is a Gift, What's the Return Policy?",Holly Virden,['Religion'],2003
13178,830714014,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,H. Norman Wright,9,1989
13180,345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,['Fiction'],1990
13206,553278223,The Martian Chronicles,RAY BRADBURY,9,1984
13271,3150000335,Kabale Und Liebe,Schiller,9,1994
13280,3257203659,Der illustrierte Mann. ErzÃ?Â¤hlungen.,Ray Bradbury,9,2002
13283,3257207522,Der KÃ?Â¶nig in Gelb.,Raymond Chandler,9,1980
13284,3257208626,Fahrenheit 451,Ray Bradbury,['Fiction'],1994
13299,3257208634,Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen.,Ray Bradbury,9,1981
13300,3257208669,Das BÃ?Â¶se kommt auf leisen Sohlen.,Ray Bradbury,9,2003
13302,3257210450,LÃ?Â¶wenzahnwein. Roman.,Ray Bradbury,9,1999
13304,3257212054,Das Kind von morgen. ErzÃ?Â¤hlungen.,Ray Bradbury,9,2000
13306,3257212429,Die Mechanismen der Freude. ErzÃ?Â¤hlungen.,Ray Bradbury,9,2000
13307,3257214154,Familientreffen. ErzÃ?Â¤hlungen.,Ray Bradbury,9,2000
13308,3257216416,Der Tod kommt schnell in Mexico. ErzÃ?Â¤hlungen.,Ray Bradbury,9,1988
13310,3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,9,2002
13329,342311360X,Die Liebe in Den Zelten,Gabriel Garcia Marquez,9,1994
13331,3423116714,Die Klone der Joanna May. Roman.,Fay Weldon,9,1993
13332,3423241489,Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,Arabella Weir,9,1998
13335,3426605686,Haifischfrauen.,Kiana Davenport,9,1996
13337,3453212150,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,9,2002
13344,3462021095,Schwarzer Tee mit drei StÃ¼ck Zucker,Renan Demirkan,['German language'],1991
13345,3492045642,QuerschÃ?Â¼sse - Downsize This!,Michael Moore,9,2003
13358,3498020862,Die Korrekturen.,Jonathan Franzen,['American fiction'],2002
13373,3499110695,Neun ErzÃ?Â¤hlungen.,Jerome D. Salinger,9,1968
13376,3499151502,"Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.",Jerome D. Salinger,9,1998
13378,3518111000,"Ulysses (Ã?Â?bersetzg. WollschlÃ?Â¤ger). ( Neue Folge, 100).",James Joyce,"['Bloom, Leopold (Fictitious character)']",1981
13379,3548254268,Eine ganz normale AffÃ?Â¤re.,Joanna Trollope,9,2002
13380,3570300099,"Das Intimleben des Adrian Mole, 13 3/4 Jahre. cbt. ( Ab 14 J.).",Sue Townsend,9,2002
13381,3596292646,Das Buch der lÃ?Â¤cherlichen Liebe.,Milan Kundera,9,2000
13391,60915544,The Bean Trees,Barbara Kingsolver,9,1989
13635,60977493,The God of Small Things,Arundhati Roy,['Fiction'],1998
13861,140272100,Vanished,Mary McGarry Morris,['Fiction'],1997
13867,156006529,Where or When  : A Novel,Anita Shreve,['Fiction'],1999
13962,312169787,The Red Tent : A Novel,Anita Diamant,['Fiction'],1997
13991,312872682,The James Dean Affair: A Neil Gulliver & Stevie Marriner Novel,Robert S. Levinson,9,2000
13997,316096199,Lucky : A Memoir,Alice Sebold,9,2002
14298,316601950,The Pilot's Wife : A Novel,Anita Shreve,9,1999
14866,316602906,The Big Bad Wolf: A Novel,James Patterson,9,2003
14986,316666343,The Lovely Bones: A Novel,Alice Sebold,9,2002
16281,316693006,Four Blind Mice,James Patterson,9,2002
16403,316776963,Me Talk Pretty One Day,David Sedaris,9,2001
16743,316899984,"River, Cross My Heart",Breena Clarke,9,1999
16925,345311396,Private Screening,Richard North Patterson,9,1994
16981,345378490,Congo,Michael Crichton,['Fiction'],1995
17269,345404793,Protect and Defend,Richard North Patterson,['Fiction'],2001
17328,345409051,Errands,Judith Guest,['Fiction'],1998
17344,345433173,The Tall Pine Polka,Lorna Landvik,9,1999
17358,373483880,The Macgregors: Serena - Caine (The Macgregors),Nora Roberts,['Fiction'],1998
17402,375400117,Memoirs of a Geisha,Arthur Golden,['Fiction'],1997
17485,375705856,Plainsong (Vintage Contemporaries),KENT HARUF,['Fiction'],2000
17641,375727345,House of Sand and Fog,Andre Dubus III,9,2000
18193,380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,['Fiction'],1992
18328,380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,['Fiction'],1993
18512,380754509,The Case of the Lost Look-Alike (An Avon Camelot Book),Carol J. Farley,['Detective and mystery stories'],1988
18515,038076654X,Petals on the River,Kathleen E. Woodiwiss,9,1997
18541,380807866,The Elusive Flame,Kathleen E. Woodiwiss,9,1999
18570,385316895,Legacy of Silence,Belva Plain,['Fiction'],1998
18582,385497466,The Brethren,JOHN GRISHAM,9,2000
18726,385508042,The King of Torts,John Grisham,['Fiction'],2003
18936,385509456,The Curious Incident of the Dog in the Night-Time : A Novel,MARK HADDON,9,2003
19018,385511612,Bleachers,John Grisham,['Fiction'],2003
19169,385720106,A Map of the World,Jane Hamilton,['Fiction'],1999
19489,385730586,Sisterhood of the Traveling Pants,ANN BRASHARES,['Juvenile Fiction'],2003
19619,425092917,The Accidental Tourist,Anne Tyler,9,1994
19740,425098834,If Morning Ever Comes,Anne Tyler,9,1983
19747,425163407,Unnatural Exposure,Patricia Daniels Cornwell,['Fiction'],1998
19931,425164403,Only Love (Magical Love),Erich Segal,['Fiction'],1998
19948,440224764,The Partner,John Grisham,9,1998
20297,440226430,Summer Sisters,Judy Blume,9,1999
20779,440234964,All or Nothing (Wheeler Large Print Books),Elizabeth Adler,['Fiction'],2000
20789,044023722X,A Painted House,John Grisham,['Fiction'],2001
21436,446353205,The Charm School,Nelson DeMille,['Fiction'],1989
21516,446358592,By the Rivers of Babylon,Nelson DeMille,['Fiction'],1990
21546,446360856,The Gold Coast,Nelson DeMille,['Fiction'],1991
21621,446364800,The General's Daughter,Nelson DeMille,9,1993
21750,446600466,Black Market,James Patterson,9,1994
21779,446600474,Season of the Machete,James Patterson,['Fiction'],1995
21852,446605484,Roses Are Red (Alex Cross Novels),James Patterson,9,2001
22082,446606383,The Midnight Club,James Patterson,9,1999
22175,446610399,The Rescue,Nicholas Sparks,9,2001
22370,446612790,2nd Chance,James Patterson,9,2003
22599,449006522,Manhattan Hunt Club,JOHN SAUL,['Fiction'],2002
22710,449911004,Patty Jane's House of Curl (Ballantine Reader's Circle),LORNA LANDVIK,['Fiction'],1996
22789,451162072,Pet Sematary,Stephen King,['Fiction'],1994
22857,451186648,Silent Snow,Steve Thayer,['Fiction'],2000
22895,452282152,Girl with a Pearl Earring,Tracy Chevalier,['Fiction'],2001
23421,051512219X,Small Town Girl,Lavyrle Spencer,['Fiction'],1998
23507,515130389,Carolina Moon,Nora Roberts,['Fiction'],2001
23681,051513290X,Summer of Storms,Judith Kelman,['Fiction'],2002
23721,517122707,A Confederacy of Dunces,John Kennedy Toole,9,1995
23798,553580388,The Patient,Michael Palmer,['Fiction'],2001
23859,590598848,"Demona's Revenge (Gargoyles, No. 2)",Francine Hughes,['Gargoyles (Fictitious characters)'],1995
23861,590629719,Clifford's Sports Day,Norman Bridwell,9,1996
23873,671023616,Postmortem (Kay Scarpetta Mysteries (Paperback)),Patricia Cornwell,9,1998
23954,671027387,Deception Point,Dan Brown,9,2002
24201,671042572,Jewel (Oprah's Book Club),Bret Lott,9,1999
24327,679450408,Silent Witness,Richard North Patterson,['Fiction'],1997
24369,684848783,Tis : A Memoir,Frank McCourt,['Biography & Autobiography'],1999
24543,743486226,Angels & Demons,Dan Brown,9,2003
24613,786863986,A Monk Swimming,Malachy McCourt,['Biography & Autobiography'],1998
24647,803251718,Crazy Horse,Mari Sandoz,['Oglala Indians'],1961
24651,804117934,The Silent Cry (William Monk Novels (Paperback)),Anne Perry,['Fiction'],1998
24672,140003180X,The Kalahari Typing School for Men (No. 1 Ladies' Detective Agency),ALEXANDER MCCALL SMITH,9,2004
24730,155874262X,Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,['Self-Help'],1993
24935,60987103,Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,['Fiction'],1996
25261,151008116,Life of Pi,Yann Martel,['Fiction'],2002
25431,375704965,A Judgement in Stone,Ruth Rendell,9,2000
25448,525947647,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,['Humor'],2003
25591,804111359,Secret History,DONNA TARTT,['Fiction'],1993
25758,1558744150,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,9,1996
25897,435272683,Great Expectations (Heinemann Guided Readers),John Milne,['England'],1995
25898,006102063X,Moving Pictures (Discworld Novels (Paperback)),Terry Pratchett,9,2002
25917,006000438X,The Death of Vishnu: A Novel,Manil Suri,9,2002
25980,60013117,Night Watch,Terry Pratchett,['Fiction'],2002
25995,60199563,Thief of Time,Terry Pratchett,['Fiction'],2001
26012,60391448,Wicked : The Life and Times of the Wicked Witch of the West,Gregory Maguire,['Fiction'],1995
26051,60502320,"I've Got You, Babe",Karen Kendall,['Fiction'],2002
26057,006052779X,Charlotte's Web Book and Charm (Charming Classics),E. B. White,['Juvenile Fiction'],2003
26061,60563079,Peter Pan: The Original Story (Peter Pan),J. M. Barrie,['Juvenile Fiction'],2003
26072,60809027,My Friend Flicka,Mary O'Hara,9,1988
26079,60930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,9,1999
26573,60934700,Smoke and Mirrors: Short Fictions and Illusions,Neil Gaiman,9,2001
26608,60934719,stardust,Neil Gaiman,9,2001
26659,60976977,"Amazing Grace : Lives of Children and the Conscience of a Nation, The",Jonathan Kozol,['Social Science'],1996
26672,61020699,Equal Rites (Discworld Novels (Paperback)),Terry Pratchett,['Fiction'],2000
26711,61020702,The Light Fantastic (Discworld Novels (Paperback)),Terry Pratchett,['Fiction'],2000
26760,61020710,The Color of Magic,Terry Pratchett,['Fiction'],2000
26863,61040967,The Last Hero : A Discworld Fable (Discworld Novels (Hardcover)),Terry Pratchett,9,2001
26866,61050474,Jingo: A Discworld Novel (Discworld Series/Terry Pratchett),Terry Pratchett,['Fiction'],1998
26872,61052515,"Maskerade: A Novel of Discworld (Pratchett, Terry. Discworld Series (New York, N.Y.).)",Terry Pratchett,['Fiction'],1997
26879,61052523,Interesting Times: A Novel of Discworld,Terry Pratchett,['Fiction'],1997
26884,61092819,Together Alone,Barbara Delinsky,['Fiction'],1996
26913,61094595,Calder Pride,Janet Dailey,['Fiction'],2000
26940,62502174,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,9,1993
26978,64401774,More Scary Stories To Tell In The Dark,Alvin Schwartz,['Juvenile Fiction'],1986
26999,64471047,"The Lion, the Witch, and the Wardrobe (The Chronicles of Narnia, Book 2)",C. S. Lewis,['Juvenile Fiction'],1994
27077,64472264,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",Louise Rennison,['Juvenile Fiction'],2002
27107,66238501,Complete Chronicles of Narnia,C. S. Lewis,['Fiction'],2001
27136,014028009X,Bridget Jones's Diary,Helen Fielding,['Fiction'],1999
27406,140298479,Bridget Jones: The Edge of Reason,Helen Fielding,9,2001
27627,140328734,Danny the Champion of the World,Roald Dahl,9,1988
27635,140367470,The Three Musketeers (Puffin Classics),Alexandre Dumas,['Juvenile Fiction'],1995
27644,140620664,Mansfield Park (Penguin Popular Classics),Jane Austen,9,1994
27665,014100018X,Chocolat,Joanne Harris,['Fiction'],2000
27804,141301066,Matilda,Roald Dahl,['Juvenile Fiction'],1998
